1; matematica; Domanda 1; A; B; C; D; 1
1; matematica; Domanda 2; A; B; C; D; 2
1; matematica; Domanda 3; A; B; C; D; 3
1; matematica; Domanda 4; A; B; C; D; 4
1; matematica; Domanda 5; A; B; C; D; 1
1; matematica; Domanda 6; A; B; C; D; 2
1; matematica; Domanda 7; A; B; C; D; 3
1; matematica; Domanda 8; A; B; C; D; 4
1; matematica; Domanda 9; A; B; C; D; 1
1; matematica; Domanda 10; A; B; C; D; 2
1; matematica; Domanda 11; A; B; C; D; 3
1; matematica; Domanda 12; A; B; C; D; 4
1; matematica; Domanda 13; A; B; C; D; 1
1; matematica; Domanda 14; A; B; C; D; 2
1; matematica; Domanda 15; A; B; C; D; 3
1; matematica; Domanda 16; A; B; C; D; 4
1; matematica; Domanda 17; A; B; C; D; 1
1; matematica; Domanda 18; A; B; C; D; 2
1; matematica; Domanda 19; A; B; C; D; 3
1; matematica; Domanda 20; A; B; C; D; 4
1; matematica; Domanda 21; A; B; C; D; 1
1; matematica; Domanda 22; A; B; C; D; 2
1; matematica; Domanda 23; A; B; C; D; 3
1; matematica; Domanda 24; A; B; C; D; 4
1; matematica; Domanda 25; A; B; C; D; 1
1; matematica; Domanda 26; A; B; C; D; 2
1; matematica; Domanda 27; A; B; C; D; 3
1; matematica; Domanda 28; A; B; C; D; 4
1; matematica; Domanda 29; A; B; C; D; 1
1; matematica; Domanda 30; A; B; C; D; 2
1; matematica; Domanda 31; A; B; C; D; 3
1; matematica; Domanda 32; A; B; C; D; 4
1; matematica; Domanda 33; A; B; C; D; 1
1; matematica; Domanda 34; A; B; C; D; 2
1; matematica; Domanda 35; A; B; C; D; 3
1; matematica; Domanda 36; A; B; C; D; 4
1; matematica; Domanda 37; A; B; C; D; 1
1; matematica; Domanda 38; A; B; C; D; 2
1; matematica; Domanda 39; A; B; C; D; 3
1; matematica; Domanda 40; A; B; C; D; 4
1; matematica; Domanda 41; A; B; C; D; 1
1; matematica; Domanda 42; A; B; C; D; 2
1; matematica; Domanda 43; A; B; C; D; 3
1; matematica; Domanda 44; A; B; C; D; 4
1; matematica; Domanda 45; A; B; C; D; 1
1; matematica; Domanda 46; A; B; C; D; 2
1; matematica; Domanda 47; A; B; C; D; 3
1; matematica; Domanda 48; A; B; C; D; 4
1; matematica; Domanda 49; A; B; C; D; 1
1; matematica; Domanda 50; A; B; C; D; 2
1; matematica; Domanda 51; A; B; C; D; 3
1; matematica; Domanda 52; A; B; C; D; 4
1; matematica; Domanda 53; A; B; C; D; 1
1; matematica; Domanda 54; A; B; C; D; 2
1; matematica; Domanda 55; A; B; C; D; 3
1; matematica; Domanda 56; A; B; C; D; 4
1; matematica; Domanda 57; A; B; C; D; 1
1; matematica; Domanda 58; A; B; C; D; 2
1; matematica; Domanda 59; A; B; C; D; 3
1; matematica; Domanda 60; A; B; C; D; 4
1; matematica; Domanda 61; A; B; C; D; 1
1; matematica; Domanda 62; A; B; C; D; 2
1; matematica; Domanda 63; A; B; C; D; 3
1; matematica; Domanda 64; A; B; C; D; 4
1; matematica; Domanda 65; A; B; C; D; 1
1; matematica; Domanda 66; A; B; C; D; 2
